date,temp,pres,wspd,wdir,rhum
2020-01-01 00:00:00,6.7,1003.3,4.11,190,76
2020-01-01 01:00:00,6.7,1003.3,3.61,210,76
2020-01-01 02:00:00,5.6,1003.9,6.19,270,76
2020-01-01 03:00:00,5.6,1003.8,5.11,260,73
2020-01-01 04:00:00,5.6,1003.9,6.69,280,64
2020-01-01 05:00:00,5.0,1004.3,7.69,270,60
2020-01-01 06:00:00,4.4,1004.2,6.19,260,62
2020-01-01 07:00:00,3.9,1004.6,6.19,270,67
2020-01-01 08:00:00,3.9,1005.0,4.61,260,64
2020-01-01 09:00:00,3.9,1005.4,5.11,270,59
2020-01-01 10:00:00,3.3,1005.7,5.69,290,62
2020-01-01 11:00:00,2.2,1006.2,4.11,260,75
2020-01-01 12:00:00,2.8,1006.3,4.61,270,61
2020-01-01 13:00:00,2.8,1006.6,5.11,250,59
2020-01-01 14:00:00,3.3,1007.5,6.69,260,52
2020-01-01 15:00:00,3.9,1008.1,7.69,260,46
2020-01-01 16:00:00,4.4,1008.1,8.81,290,44
2020-01-01 17:00:00,4.4,1007.6,8.19,270,43
2020-01-01 18:00:00,4.4,1007.2,9.81,280,41
2020-01-01 19:00:00,3.9,1007.4,8.81,270,42
2020-01-01 20:00:00,3.9,1008.2,9.31,270,42
2020-01-01 21:00:00,3.9,1009.0,7.69,260,44
2020-01-01 22:00:00,3.3,1010.1,7.19,250,48
2020-01-01 23:00:00,3.3,1010.6,5.69,260,48
2020-01-02 00:00:00,2.8,1011.2,6.69,270,50
2020-01-02 01:00:00,2.2,1011.9,6.69,260,50
2020-01-02 02:00:00,1.7,1012.4,3.61,280,52
2020-01-02 03:00:00,1.1,1012.8,2.61,240,54
2020-01-02 04:00:00,-1.1,1013.0,2.61,230,63
2020-01-02 05:00:00,-1.7,1013.2,3.11,220,66
2020-01-02 06:00:00,-2.8,1013.1,2.61,210,69
2020-01-02 07:00:00,-1.7,1013.9,4.61,230,72
2020-01-02 08:00:00,-2.2,1014.1,3.11,230,71
2020-01-02 09:00:00,-2.8,1014.0,2.61,230,75
2020-01-02 10:00:00,-1.7,1014.4,3.61,240,72
2020-01-02 11:00:00,-2.2,1014.8,3.61,230,75
2020-01-02 12:00:00,-1.7,1015.2,5.11,230,75
2020-01-02 13:00:00,-2.2,1015.3,3.11,210,75
2020-01-02 14:00:00,1.1,1015.6,2.61,210,67
2020-01-02 15:00:00,3.3,1015.8,3.11,220,62
2020-01-02 16:00:00,6.1,1015.1,3.61,230,49
2020-01-02 17:00:00,7.8,1014.4,4.11,220,43
2020-01-02 18:00:00,8.9,1013.2,5.69,220,39
2020-01-02 19:00:00,10.0,1012.9,5.11,220,36
2020-01-02 20:00:00,9.4,1012.5,4.61,190,41
2020-01-02 21:00:00,8.9,1012.1,3.61,210,44
2020-01-02 22:00:00,8.3,1012.0,3.11,190,52
2020-01-02 23:00:00,8.3,1012.0,2.61,190,56
2020-01-03 00:00:00,7.8,1011.8,2.61,190,58
2020-01-03 01:00:00,6.7,1011.7,2.61,220,62
